Al,B,Ba,Bi,Ca,Ce,Co,Cr,Cs,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Rb,S,Sb,Si,Siloxane,Sn,Sr,Te,Ti,V,W,Zn,Zr,Ac_source,Fa_source,Stabilizer,Ratio_Ac/Fa,Ratio_Stab/Fa,O_Percentage,LHSV__ml/h/g_,Temperature__K_,STY_MA+AA_(mmol/h/g),reactant_score
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.6734772969998087,-0.6091274051547718,10.0,1.0,100.0,1.06535581986919,653.0,0.5910992060277078,0.46665007333775615
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.6734772969998087,-0.6091274051547718,10.0,1.0,100.0,1.06535581986919,653.0,0.8025740804504577,0.46665007333775615
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.6734772969998087,-0.6091274051547718,10.0,1.0,100.0,1.06535581986919,653.0,0.9489437332901238,0.46665007333775615
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.6734772969998087,-0.6091274051547718,10.0,1.0,100.0,1.06535581986919,653.0,1.06557107267277,0.46665007333775615
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.6734772969998087,-0.6091274051547718,10.0,1.0,100.0,1.06535581986919,653.0,1.07774902778903,0.46665007333775615
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.6734772969998087,-0.6091274051547718,6.0,1.0,100.0,1.061314669241896,663.0,0.3129223271610692,0.3558548308962515
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,0.0,5.0,0.0,0.0,1.4,563.0,0.7978073570911253,0.541174243830989
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,0.0,5.0,0.0,0.0,1.4,563.0,0.1913143370876304,0.541174243830989
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,0.0,5.0,0.0,0.0,1.4,563.0,0.5785930125115488,0.541174243830989
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,0.0,5.0,0.0,100.0,1.4,563.0,1.06119671353295,0.541174243830989
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,0.0,5.0,0.0,100.0,1.4,583.0,0.656978747846064,0.541174243830989
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,0.0,5.0,0.0,100.0,1.4,563.0,1.498628973853105,0.541174243830989
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,0.0,5.0,0.0,100.0,1.4,583.0,0.9854681217690963,0.541174243830989
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9186463934840646,-0.6734772969998087,0.0,2.5,0.0,3.0,1.333333333333333,633.0,1.586163584424854,0.4637539104886722
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9186463934840646,-0.19415732811789355,0.0,3.0,0.0,100.0,2.28783880465252,633.0,4.07557385098487,0.6404454630835751
